,Presidente,DATA,"Legislatura/
Presidente da CD",Ementa,Interessado,Situação,Data do Despacho,Categoria
1,Collor,8/22/1990,"48ª 
Paes de Andrade/PMDB/CE","Denuncia o Presidente da República por crime de responsabilidade por omissão na regulamentação da Lei 7990/89 (compensação financeira aos Estados, DF e Municípios pelo resultado da exploração de recursos hídricos e minerais) ","Deputado Maurício Roslindo Fruet
(PMDB)",Arquivado,8/26/1992,Crime de responsabilidade
2,Collor,9/17/1990,"48ª 
Paes de Andrade/PMDB/CE","Denuncia o Presidente da República por crime de responsabilidade por omissão na regulamentação da Lei 7990/89 (compensação financeira aos Estados, DF e Municípios pelo resultado da exploração de recursos hídricos e minerais) ","Deputado Aldemir Andrade
(PSB)",Arquivado,8/26/1992,Crime de responsabilidade
3,Collor,4/18/1991,"49ª
Ibsen Pinheiro/PMDB/RS","Denuncia crime de responsabilidade contra Presidente da República, o vice-presidente Itamar Franco e Ministros Zélia Cardoso, Antonio Magri, Carlos Alberto Chiarelli, Antonio Cabreiro, Jarbas Passarinho e Alceni Guerra","Deputado Hélio Bicudo
(PT)",Arquivado,8/26/1992,Crime de responsabilidade
4,Collor,5/9/1991,"49ª
Ibsen Pinheiro/PMDB/RS",Oferece denúncia contra o Excelentíssimo Presidente da República Fernando Collor de Mello e o Excelentíssimo Senhor Ministro de Estado do Trabalho e Previdência Social Antônio Rogério Magri por crime de responsabilidade - violação patente de direito social.,"Deputada Cidinha Campos
(PDT)",Arquivado,8/26/1992,Crime de responsabilidade
5,Collor,8/8/1991,"49ª
Ibsen Pinheiro/PMDB/RS","Denuncia crime de responsabilidade contra Presidente da República,  Ministros Bernardo Cabral, Zélia Cardoso, Antonio Magri, Margarida Procopio e Carlos Alberto Chiarelli, ","Deputado Hélio Bicudo
(PT)",Arquivado,8/2/1992,Crime de responsabilidade
6,Collor,3/9/1992,"49ª
Ibsen Pinheiro/PMDB/RS","Denuncia o Presidente da República por crime de responsabilidade com fulcro nos arts. 85, II, VII e 68, da Constituição Federal, e arts. 6º nºs 5, 12, nºs 1, 2 e 4; 14 e segts. e 19 e segts. da Lei 1079, de 1950.",João Eudes Mendanha,Arquivado,8/6/1992,Crime de responsabilidade
7,Collor,7/12/1992,"49ª
Ibsen Pinheiro/PMDB/RS",Denuncia o Presidente da Republica contra crime de responsabilidade contra a probidade na Administração Pública,Sérgio Augusto Pereira de Borja,Arquivado,8/6/1992,Crime de responsabilidade
8,Collor,7/23/1992,"49ª
Ibsen Pinheiro/PMDB/RS","Denuncia o Presidente Fernando Collor de Mello conforme provas insofismáveis coligidas pela CPI Mista do Congresso Nacional que investiga o envolvimento do Senhor Paulo Cesar Farias em inúmeros atos de corrupção, provas essas amplamente divulgadas pelos meios de comunicação de todo o país",Gamaliel Inácio da Silva,Arquivado,8/6/1992,Corrupção
9,Collor,7/29/1992,"49ª
Ibsen Pinheiro/PMDB/RS",Denuncia o Presidente da República por crime de responsabilidade tendo em vista existência de relação de corrupção envolvendo negociatas escusas em alto escalão comprovada pela CPI instaurada no Congresso Nacional,Carlos Alberto Licurgo de Medeiros,Arquivado,8/6/1992,Corrupção
10,Collor,7/29/1992,"49ª
Ibsen Pinheiro/PMDB/RS",Denuncia o Presidente da República por crime de responsabilidade por não probidade administrativa conforme prevista na Constituição.,Mario Monteiro,Arquivado,8/6/1992,Crime de responsabilidade
