,Presidente,DATA,"Legislatura/
Presidente da CD",Ementa,Interessado,Situação,Data do Despacho,Publicação,Recurso,Categoria
1,Dilma,1/25/2012,"54ª 
Marco Maia/PT/RS","Propõe o ""impeachment"" da Exma. Sra. Dilma Rousseff, Presidente da República Federativa do Brasil.",Francisco de Assis Cabral,Arquivado,9/21/2012,Não publicado,"Recurso apresentado em 22/10/2012. 
DCD 31/10/12 - p. 34791
Decisão: O Oferecimento de proposições na Câmara dos Deputaos, inclusive recursos, é prerrogativa dos deputados que estejam em exercício do mandato, a teor do disposto no art. 226, inciso I, do RICD.",Crime de responsabilidade
2,Dilma,7/4/2012,"54ª 
Marco Maia/PT/RS",Representa contra a Presidenta da República Outros por crime de responsabilidade: 1 - pela conduta subversiva e insurreta de governo contra o Estado Democrático de Direito;  2 - improbidade na administração e ausência do decoro exigido pelo cargo,Célio Evangelista Ferreira,Arquivado,9/5/2012,Não publicado,Não houve apresentação,Decoro presidencial
3,Dilma,7/5/2012,"54ª 
Marco Maia/PT/RS","Oferece denúncia contra a Presidente da República, Dilma Vana Roussef, por crimes de responasabilidade previstos no art. 85, III e V da CF e nos arts. 7º, 9 e 9º, 7, d Lei nº 1079, de 10 de abril de 1950, para o fim de ser decretada a perda de seu cargo e sua inabilitação temporal para o exercício de função pública, sem prejuizo do procedimento penal competente, pelas infrações penais comuns. Alega que no mês de abril de 2011, a Presidente este presente em um dos programas Superpop (Rede TV), e apresentou vídeo em que o denunciante estava no interior de sua residência sem roupas e, violou a privacidade, a hionra e a imagem do denunciante.",Alexandre Ferraz de Moraes,Arquivado,9/5/2012,Não publicado,Não houve apresentação,Decoro presidencial
4,Dilma,9/11/2013,"54ª 
Henrique Eduardo Alves/PMDB/RN","Propõe o ""impeachment"" da Exma. Sra. Dilma Rousseff, Presidente da República Federativa do Brasil, pelos motivos que expôs.",Alírio Cavalcanti Ferreira,Arquivado,10/1/2013,"01/10/2013
*
Publicado no DCD nº 172 - 02/10/2013 - p. 44270",Não houve apresentação,Crime de responsabilidade
5,Dilma,10/3/2013,"54ª 
Henrique Eduardo Alves/PMDB/RN","Propõe  pedido de abertura de processo de impeachment contra a Sra. Dilma Rousseff, Presidente da República Federativa do Brasil, que vem se esquivando sistematicamente de regulamentar e determinar a intervenção do governo federal. A bem de interesse público, no âmbito do sistema COFECI/CRECI.",Glaudiston da Silva Cabral,Arquivado,10/16/2013,"16/10/2013

*
Publicado no DCD nº 183 - 17/10/2013 - p. 48283","Recurso apresentado pelo denunciante em 03/12/2013. 

Decisão:  Somente Deputados no exercício do mandato têm legitimidade para interpor recurso no âmbito desta Casa, nos termos dos arts. 100, § 1º, e 226, I, do RICD. ",Crime de responsabilidade
6,Dilma,10/31/2013,"54ª 
Henrique Eduardo Alves/PMDB/RN","Oferece denúncia contra a Presidente da República, Dilma Vana Rousseff, por crimes de responsabilidade, previstos no art. 85, III e V da CF e nos arts. 7º, 9, e 9º, 7, da Lei nº 1079, de 10 de abril de 1950, para o fim de ser decretada a perda de seu cargo e sua inabilitação temporal para o exercício de função pública, sem prejuízo do procedimento penal competente, pelas infrações penais comuns. Alega que no mês de abril de 2011, a Presidente esteve presente em um dos programas Superpop (Rede TV), e apresentou vídeo em que o denunciante estava no interior de sua residência sem roupas e, violou a privacidade, a honra e a imagem do denunciante.",Alexandre Ferraz de Moraes,Arquivado,11/12/2013,Não publicado,Não houve apresentação,Crime de responsabilidade
7,Dilma,11/28/2013,"54ª 
Henrique Eduardo Alves/PMDB/RN","Novo encaminhamento DE MESMO TEOR no qual o interessado oferece denúncia contra a Presidente da República, Dilma Vana Rousseff, por crimes de responsabilidade, previstos no art. 85, III e V da CF e nos arts. 7º, 9, e 9º, 7, da Lei nº 1079, de 10 de abril de 1950, para o fim de ser decretada a perda de seu cargo e sua inabilitação temporal para o exercício de função pública, sem prejuízo do procedimento penal competente, pelas infrações penais comuns. Alega que no mês de abril de 2011, a Presidente esteve presente em um dos programas Superpop (Rede TV), e apresentou vídeo em que o denunciante estava no interior de sua residência sem roupas e, violou a privacidade, a honra e a imagem do denunciante.",Alexandre Ferraz de Moraes,Arquivado,12/6/2013,"06/12/2013

*
Publicado no DCD nº 218 - 07/12/2013 - p. 58309",Não houve apresentação,Crime de responsabilidade
8,Dilma,4/1/2014,"54ª 
Henrique Eduardo Alves/PMDB/RN","Propõe a abertura de processo de impeachment da Presidente da República Dilma Rousseff, em razão de suposto crime de responsabilidade praticado enquanto ocupava os cargos de Ministra Chefe da Casa Civil e de Presidente do Conselho de Administração da Petrobras, relacionado à compra da refinaria Pasadena pela referida empresa brasileira em 2006. Anexo: exemplar da Revista Veja, edição 2366, ano 47, n. 13, de 26/03/14.",Senador Mário Couto - PSDB/PA,Arquivado,4/25/2014,"25/04/2014

*
Publicado no DCD 26/04/2014 - p. 89",Não houve apresentação,Decoro presidencial
9,Dilma,9/30/2014,"54ª 
Henrique Eduardo Alves/PMDB/RN","Encaminha denúncia contra Presidente da República com base na Lei n. 1.079, de 10 de abril de 1950. Alega abuso de poder econômico. Em anexo, encarte dos Correios e folder de campanha eleitoral.",Luis Stefano Grigolin,Arquivado,10/22/2014,"22/10/2014
*
Publicado no DCD nº 157 - 23/10/2014 - p. 36",Não houve apresentação,Crime de responsabilidade
10,Dilma,10/21/2014,"54ª 
Henrique Eduardo Alves/PMDB/RN","Pedido de impeachment em face da Presidente da República. Alega que a denunciada, mediante atuação direta e por seu partido (PT), cometeu crime de responsabilidade por atentar contra a Constituição Federal, ao submeter sua administração às decisões de seu partido político e à entidade (Foro de São Paulo) e aos governos estrangeiros (notadamente os da América Latina).",Luis Carlos Crema,Arquivado,10/30/2014,"30/10/2014

*
Publicado DCD nº 162 -31/10/2014 - p. 47","Recurso apresentado pelo denunciante em 17/11/2014. 

Decisão: Somente Deputados no exercício do mandato têm legitimidade para interpor recurso no âmbito desta Casa, nos termos dos arts. 100, § 1º, e 226, I, do RICD.",Crime de responsabilidade
