,Presidente,DATA,"Legislatura/
Presidente da CD",Ementa,Interessado,Situação,Data do Despacho,Categoria
1,FHC,6/27/1995,"50ª 
Luís Eduardo/PFL/BA",Denúncia contra Presidente Fernando Henrique Cardoso e Ministro de Estado das Minas e Energia Raimundo Brito ref à MP 991/95,"Alvaci Rogéria Pereira Neihues e outros, apresentada apresentada pelo Instituto Catarinense de Defesa da Cidadania e Combate à Corrupção",Arquivado,8/2/1995,Crime de responsabilidade
2,FHC,5/20/1997,"50ª 
Michel Temer/PMDB/SP",Encaminha pronunciamento como peça acusatoria contra o Pres da Republica FHC p/ instauração de processo de IMPEACHMENT,Deputado Nilson Gibson,Arquivado,6/5/1997,Crime de responsabilidade
3,FHC,6/17/1997,"50ª 
Michel Temer/PMDB/SP",Representação contra o Presidente da República com relação à compra de votos por ocasião da votação da emenda da Reeleição,Domingos de Freitas Diniz Neto,Arquivado,10/24/2006,Corrupção
4,FHC,11/18/1997,"50ª 
Michel Temer/PMDB/SP","Representação contra Presidente da República Fernando Henrique Cardoso pela prática de crime de responsabilidade que atentam contra a CF e o cumprimento das leis - por motivode omissão ao não encaminhar ao CN no prazo de 120 dias a MSC que""trata da criação de um fundo para o desenvolvimento econômico dastelecomunicações brasileiras"" e a MSC que ""trata da criação de um fundo especificamente constituído para cobrir a parcela do custoexclusivamente atribuível ao cumprimento das obrigações deuniversalização de prestadora de serviço de telecomunicações",Deputado Sérgio Miranda de Matos Brito e Deputado Walter de Freitas Pinheiro,Arquivado,10/23/2006,Crime de responsabilidade
5,FHC,4/29/1999,"51ª 
Michel Temer/PMDB/SP","Apresenta em face do Presidente da República Fernando Henrique Cardoso. Reaação do representado, Presidente da República, divulgada por todos os meios de comunicação social, avaliando, que a decisão da Justiça foi arbitrária",Deputado Jorge Milton Temer,Arquivado,5/4/1999,Crime de responsabilidade
6,FHC,5/5/1999,"51ª 
Michel Temer/PMDB/SP",Requer instauração de processo de Impeachment contra o Sr. Fernando Henrique Cardoso,Deputado Alceu Collares,Arquivado,5/11/1999,Crime de responsabilidade
7,FHC,5/26/1999,"51ª 
Michel Temer/PMDB/SP",Oferecem denúncia contra o Presidente da República Fernando Henrique Cardoso por crimes de responsabilidade previsto na Constituição e na Lei 1079/50.,Deputado José Genoíno; Deputado Miro Teixeira; Deputado Luiza Erundina e outros,Arquivado, 01/06/1999 ,Crime de responsabilidade
8,FHC,8/3/1999,"51ª 
Michel Temer/PMDB/SP",Apresenta denúncia contra o Presidente da República e Vice Presidente Fernando Henrique Cardoso e Marco Maciel respectivamente e seus auxiliares de finanças por motivos de falta de ética e equidade.,Deputado José Feliciano Coelho,Arquivado,2/12/2001,Decoro presidencial
9,FHC,8/26/1999,"51ª 
Michel Temer/PMDB/SP",Solicita instalação de CPI Comissão Parlamentar de Inquérito destinada a investigar processo de PRIVATIZAÇÃO da TELEBRÁS e solicita o enquadramento do Presidente da República Fernando Henrique Cardoso em crime de responsabilidade diante das denúncias feitaspelo Jornal Folha de SP que comprovam o envolvimento pessoal do Presidente da República ,Sociedade Civil (Abaixo Assinado),Arquivado,9/2/1999,Crime de responsabilidade
10,FHC,7/20/2000,"51ª 
Michel Temer/PMDB/SP",Denuncia o Pres da República pela liberação de verbas na obra superfaturada do TRT de São Paulo.,Deputado Milton Temer e deputado Walter Pinheiro,Arquivado,8/2/2000,Crime de responsabilidade
