,Presidente,DATA,"Legislatura/
Presidente da CD",Ementa,Interessado,Situação,Data do Despacho,Categoria
1,Lula,7/23/2003,"52ª 
João Paulo/PT/SP","Apresenta NOTITIA CRIMINIS contra o Presidente da República, Luís Inácio Lula da Silva, em prejuízo da segurança interna do país (MST)",Saulo Vassimon,Arquivado,9/29/2003,Crime de responsabilidade
2,Lula,7/29/2004,"52ª 
João Paulo/PT/SP","Representa a cidadã GISELE GEMIN LOEPER, que vem requerer o impeachment do Presidente da República, Luiz Inácio Lula da Silva, por ter afrontado art. 85 da CF",Antonio Carlos Ferreira,Arquivado,8/9/2004,Crime de responsabilidade
3,Lula,2/28/2005,"52ª
Severino Cavalcanti/PP/PE","Apresenta DENÚNCIA com o objetivo de instauração de processo contra o Presidente da República, Luiz Inácio Lula da Silva, pela prática de crime de responsabilidade em razão de pronunciamento oficial.","Dep. Alberto Goldman
(PSDB)",Arquivado,3/14/2005,Decoro presidencial
4,Lula,2/28/2005,"52ª
Severino Cavalcanti/PP/PE","Apresenta DENÚNCIA com o objetivo de instauração de processo contra o Presidente da República, Luiz Inácio Lula da Silva, pela prática de crime de responsabilidade em razaão de pronunciamento oficial.",Reinaldo Rinaldi; Fábio Marcos B. Trombetti e José Carlo di S. Almeida,Arquivado,3/31/2005,Decoro presidencial
5,Lula,3/7/2005,"52ª
Severino Cavalcanti/PP/PE","Denuncia por crime de responsabilidade o Sr LUIZ INÁCIO LULA DA SILVA,Presidente da República, por pronunciamento, feito em 25/2/05, em audiência pública no Espírito Santo.",Celio Evangelista Ferreira do Nascimento,Arquivado,5/30/2005,Decoro presidencial
6,Lula,7/28/2005,"52ª
Severino Cavalcanti/PP/PE","Promove DENÚNCIA contra o Presidente da República, Luiz Inácio Lula da Silva, pela prática de crime de improbidade Administrativa, em face de denúncias feitas pelo Dep. Roberto Jefferson",Gildson Gomes dos Santos,Arquivado,8/9/2005,Corrupção
7,Lula,7/28/2005,"52ª
Severino Cavalcanti/PP/PE","Requer a aplicação do IMPEACHMENT do Presidente da República, LUIZ INÁCIO LULA DA SILVA, sob a acusação de Prevaricação, por deixar de tomar as providências cabíveis diante de denúncias de corrupção.",Aylton Ferraz Freitas,Arquivado,8/9/2005,Corrupção
8,Lula,8/10/2005,"52ª
Severino Cavalcanti/PP/PE","Denuncia o Pres da República, LUIZ INÁCIO LULA DA SILVA, por Crime de Responsabilidade, pelas provas já levantadas pelas CPMIs dos Correios, Mensalão e dos Bingos",Célio Evangelista Ferreira do Nascimento,Arquivado,9/21/2005,Corrupção
9,Lula,8/10/2005,"52ª
Severino Cavalcanti/PP/PE","Apresenta Denúncia por crimes de responsabilidade e conseqüente impeachment contra o Exmo. Sr. LUIZ INÁCIO LULA DA SILVA, Presidente da República Federativa do Brasil, em face de envolvimento com matéias das CPMI dos Correios e do Mensalão",Carlos Alberto de Oliveira,Arquivado,9/21/2005,Corrupção
10,Lula,9/20/2005,"52ª
Severino Cavalcanti/PP/PE","Solicita à Câmara dos Deputados, abertura de processo de IMPEDIMENTO contra o Senhor Presidente da República Federativa do Brasil, Luiz Inácio Lula da Silva, por improbidade administrativa",Julio Cesar Zanluca,Arquivado,9/21/2005,Crime de responsabilidade
